Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
11417,868,663,1967,4.54,7.53,1.41,0.06,114,0.23,4.03,10.4,3.87,54.3,16,179,64,267,56.6,510,103,1382.781215,695,1.31,5.8,2.8,0.5,28.22,170,5.48,0.000253
11464,171,235,1188,4.62,2.77,0.73,0.039,38.7,0.1,2.5,5.66,2.09,26.8,8.64,96.4,37.5,165,36.9,349,76,845.0217901,697,0.73,9.7,3.6,0.52,15.48,82,2.77,0.000436
10055,251,340,967,15.21,3.31,0.73,0.036,33.7,0.081,0.97,2.94,1.34,17,6.09,72.3,29.1,138,31.7,326,72.9,731.9572711,810,0.74,10.4,4.5,0.58,34.57,243,9.84,0.000598
12263,481,568,1082,6.5,5.77,1.15,0.17,37.9,0.19,2.11,3.56,1.66,17.5,6.03,73.1,30.2,157,37.2,412,93.4,872.4236491,727,0.85,11.3,5.6,0.64,17.99,71,3.09,0.000595
11427,308,453,1299,2.36,5.4,1.2,0.022,45.3,0.14,1.67,4.37,2.09,25.2,8.47,104,41,188,40.3,416,85.7,963.5933212,643,0.68,8.8,4,0.61,27.15,166,3.75,0.00047
11146,284,366,1370,4.68,4.75,1.1,1.57,59.3,0.56,3.44,4.13,1.64,26,8.82,107,41.8,200,43.9,468,97.8,1064.681163,698,0.78,8.1,4.4,0.48,17.22,48,0.81,0.000354
11220,267,363,1266,1.98,4.69,0.96,12,79.2,3.73,18.4,6.95,2.67,27.8,9.18,105,40.8,188,40.2,415,84.2,1033.541895,630,0.74,8.9,3.9,0.59,4.3,4,-10.88,0.000463
10723,159,260,1146,4.23,3.7,0.86,0.0015,42.6,0.096,1.03,3.39,1.63,20.4,7.41,90.3,36.8,174,39.3,392,82.3,891.8584083,689,0.61,9.4,4.3,0.6,41.27,316,7.63,0.000523
11364,451,448,1453,3.99,5.28,1.16,0.54,66.4,0.2,2.4,5.83,2.04,31.9,10.5,122,46.2,210,46.2,453,95.9,1092.996889,684,1.01,7.8,3.7,0.46,27.69,157,4.85,0.000314
10698,197,252,1201,5.11,3,0.66,2.14,52.8,0.76,5.07,5.84,2.74,33.6,9.85,106,39.5,171,37.3,360,75.8,902.3303895,705,0.78,8.9,3.4,0.6,10.42,28,-1,0.000498
12921,265,475,1335,5.82,6.1,1.12,0.038,40.3,0.062,1.27,3.02,1.49,21.1,7.59,97,39.5,200,48.3,525,120,1104.669998,717,0.56,9.7,5.4,0.57,31.79,176,6.24,0.000428
10956,217,347,1640,3.79,5.37,1.14,0.003,55.1,0.093,1.65,4.53,1.63,28.4,10.1,126,50.3,242,54.7,525,112,1211.348421,680,0.62,6.7,4.2,0.44,33.4,214,5.9,0.000268
11599,254,392,1180,6.82,5.03,1.23,0.012,39.5,0.045,1.02,3.14,1.39,18.9,7.05,88.5,36.3,177,41.2,422,92.2,928.4784993,731,0.65,9.8,4.8,0.55,38.88,280,8.37,0.000468
11187,170,257,929,3.38,3.45,1.08,0.028,34.1,0.044,0.96,2.76,0.99,17.7,6.13,75,29.4,135,31.7,303,63.6,700.018032,671,0.66,12,4,0.44,35.51,237,6,0.000469
11341,95.4,211,1007,5.32,2.56,0.69,1.04,34.4,0.33,2.19,3.16,1.33,19,6.71,78.3,31,150,33.9,345,75.5,782.4289765,709,0.45,11.3,4.4,0.52,15.71,53,1.5,0.00052
12018,167,332,1300,2.96,4.78,1.01,1.01,43.3,0.31,2.46,3.06,1.46,21.1,7.32,95.9,39.7,193,46.1,467,107,1028.20118,660,0.5,9.2,4.9,0.56,17.58,51,-0.11,0.000429
10572,57.6,119,666,4.58,1.45,0.49,0,20.4,0.019,0.9,2.29,1,12.5,4.34,53.6,20.9,101,22.8,226,51,516.502959,696,0.48,15.9,4.2,0.57,22.78,135,4.65,0.000862
11466,234,389,1490,3.76,6.01,1.35,2.6,55.3,1.04,5.84,3.57,1.21,22.9,8.24,105,45.7,220,51.5,515,115,1152.009386,679,0.6,7.7,4.9,0.41,9.46,13,-4.51,0.000274
9922,86.9,101,1375,6.45,2.03,0.53,0.032,24.2,0.42,7.05,11.3,5.26,45.4,13.1,137,46,191,39.6,354,71,945.2765597,726,0.86,7.2,2.6,0.71,3.43,13,-3.34,0.000516
11802,153,347,1218,4.13,4.87,1,0.038,35.7,0.037,0.88,2.45,1.05,18,6.7,88.9,37,185,44.5,458,103,980.3660984,687,0.44,9.7,5.1,0.48,40.36,261,6.85,0.000397
