Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
11458,381,387,1371,4.09,4.17,0.96,0.049,51,0.13,2.53,5.51,2.1,32.1,9.6,112,42.8,189,42.3,401,85.5,975.2483617,686,0.99,8.4,3.6,0.48,20.19,103,3.32,0.000352
11785,184,291,929,12.4,3.12,0.71,0.83,32.7,0.29,1.79,2.97,1.33,15.4,5.39,64.2,27.3,131,31,317,72.9,704.2795393,789,0.63,12.7,4.9,0.6,18.31,71,4.71,0.000648
11191,218,304,1354,4.49,2.56,0.6,4.68,51.8,1.96,11.7,8.86,2.69,32.9,9.86,110,41,191,42.8,419,94.5,1022.076811,694,0.72,8.3,3.8,0.48,4.41,8,-6.15,0.000356
13396,176,256,1420,7.48,4.48,1.67,0.072,23.4,0.035,1.21,3.55,1.86,28.4,9.81,114,45.9,195,42.5,406,84.1,956.5188252,739,0.69,9.4,3.6,0.57,19.36,133,5.8,0.000399
11859,154,230,1098,5.75,3.07,0.8,0.095,38.4,0.089,1.22,3.32,1.48,20.9,7.25,86.7,35,161,36.5,352,75.5,819.1915714,716,0.67,10.8,4.1,0.55,31.32,197,6.63,0.000497
13111,57.8,143,554,2.5,1.44,0.54,0.0096,12.1,0.035,0.6,1.51,0.62,8.97,3.44,41.1,16.9,83.3,20.3,214,51.7,454.3697541,647,0.41,23.7,5.2,0.51,20.3,120,2.69,0.000922
11914,75.2,153,807,2.28,1.09,0.39,0.01,20.9,0.041,1.52,3.36,1.44,18.1,5.35,63.6,23.9,117,26.1,257,58.9,597.5776183,640,0.49,14.8,4,0.57,13.79,71,0.48,0.000702
11028,486,488,1719,7.87,5.75,1.27,0.0067,64.1,0.077,2.1,6.61,2.51,37.3,12,138,53.2,238,52.8,490,105,1201.62528,744,1,6.4,3.5,0.49,30.5,223,7.89,0.000285
12259,166,300,1075,3.27,3.76,0.88,0.035,29.6,0.03,0.91,2.43,1,16.2,6.01,74.5,31.7,158,36.4,378,84.8,819.5091566,668,0.55,11.4,5.1,0.49,32.39,200,5.28,0.000455
11841,424,519,1332,8.34,7.51,1.68,0.066,43.9,0.25,2.74,4.84,2.18,27.5,8.84,108,43.4,195,43.1,422,87.8,989.4961476,750,0.82,8.9,3.9,0.58,16.01,66,3.44,0.000434
