label,Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
¢ó,13859,148,639,728,4.3,4.9,1,0.12,8.2,0.03,0.28,0.6,0.4,5.4,2.3,36,19,128,38,523,141,903,701,0.23,19,14.5,0.63,29,143,5,0.000862
¢ó,12301,189,586,1276,,12.3,2.6,,21,0.02,0.35,1.4,0.9,11.9,5,77,36,216,59,689,161,1279,,0.32,10,8.9,0.64,60,552,,0.000501
¢ó,11315,267,532,1506,4,6.7,1.8,,19.7,0.12,1.79,4.2,1.8,24.6,8.5,112,46,244,60,653,147,1323,697,0.5,8,5.8,0.55,11,61,1.66,0.000366
¢ó,10569,983,900,1288,4.8,18.4,4.8,0.11,54.2,0.08,1.4,3.5,1.7,24,8.2,104,41,204,48,496,102,1089,711,1.09,8,4.8,0.55,39,227,7.03,0.000428
¢ó,13212,756,1801,2254,3.9,40.7,10.3,0.27,41.5,0.12,1.05,3.6,1.5,31.8,12.9,177,75,384,91,941,192,1952,693,0.42,6,5.3,0.42,40,317,7.75,0.000187
¢ó,10318,340,541,1026,4.5,10.7,3.7,0.09,35,0.04,0.84,2.1,1.1,15.2,5.7,77,32,165,41,435,90,900,706,0.63,10,5.6,0.58,42,246,7.18,0.000566
¢ó,11088,253,534,648,9,6.1,2.2,,15.3,,0.5,1,0.5,8.1,3.1,43,19,104,28,319,75,616,770,0.47,17,7.4,0.58,31,138,6.74,0.000888
¢ó,12555,388,999,894,,9.4,2.5,,17.1,,0.33,1.1,0.7,9.5,3.8,55,25,148,40,486,118,906,,0.39,14,8.9,0.68,52,398,,0.000755
¢ó,12459,497,928,879,,10.7,2.6,,19.5,,0.42,1.4,0.8,10.6,4.3,58,26,145,37,433,100,836,,0.53,14,7.4,0.64,46,342,,0.000727
¢ó,13261,6165,6577,3609,4.9,73.1,12.1,,97.9,0.11,2.56,7.2,2.8,47,17.1,232,100,554,139,1546,338,3085,714,0.94,4,6.7,0.47,38,249,7.46,0.00013
¢ó,11086,350,505,767,4.4,8.5,2.7,,26.3,0.04,0.54,1.6,0.8,11.1,4.2,57,24,125,31,332,70,683,704,0.69,14,5.8,0.54,49,339,8.33,0.000705
¢ó,10945,191,313,656,4.1,5.9,2.1,,25,0.04,0.69,1.6,0.7,9.1,3.4,47,20,107,27,290,61,593,697,0.61,17,6.2,0.53,36,191,5.99,0.000809
¢ó,10712,68,153,333,,3.1,1.3,,12.2,,0.29,0.7,0.3,4.1,1.6,23,10,56,15,167,37,326,,0.44,32,7.3,0.55,42,230,,0.001666
¢ó,11273,73,161,373,3.2,3.1,1.3,,12.3,0.02,0.38,0.6,0.3,4.4,1.8,25,11,63,16,184,41,360,677,0.45,30,7.4,0.66,33,113,3.38,0.001758
¢ó,11089,110,229,367,2.8,3.2,1.1,,14.8,,0.31,0.7,0.3,4.2,1.6,22,10,60,16,192,44,367,665,0.48,30,8.7,0.58,47,243,5.92,0.001575
