Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
11099,265,514,1035,2.64,3.14,1.86,0.04,15.8,0.079,0.78,2.5,0.32,15.6,6.14,81.3,34,169,38.9,389,83.5,836.260957,651,0.52,10.7,4.8,0.16,20.22,151,3.69,0.000151
11146,293,882,1363,1.87,7.11,3.89,5.78,36.1,2.31,12,5.38,0.26,19.3,7.35,98.5,41.6,220,51,520,110,1128.872513,625,0.33,8.2,5.3,0.08,3.02,3,-11.7,0.000056
9666,248,524,1663,2.84,2.24,1.21,0.01,15.1,0.18,2.35,4.3,0.63,24.2,9.98,127,53.4,270,60.1,602,125,1295.056407,657,0.47,5.8,4.8,0.19,6.44,27,-2.53,0.000113
12080,370,998,1841,1.67,9.15,4.92,0.55,27.2,0.23,1.7,2.87,0.26,21.9,9.13,129,57.2,294,69.4,675,140,1429.308585,617,0.37,6.6,5.2,0.1,15.99,63,-0.75,0.000055
10939,375,958,1615,9.88,10.8,4.55,0.14,22.2,0.49,3.77,4.59,0.71,21.7,8.61,118,48.7,255,61.7,614,131,1290.169725,766,0.39,6.8,5.2,0.22,5.89,17,-1.29,0.000135
11359,559,1329,2066,1.7,10.5,5.36,1.46,30.1,0.24,2.23,3.95,0.2,26.3,11.5,153,65.9,335,76.7,749,153,1608.901917,619,0.42,5.5,4.9,0.06,13.51,56,-1.14,0.000029
10185,295,715,1657,6.09,11.1,3.81,0.47,21.3,0.17,1.85,3.18,0.28,20.3,8.65,115,52.4,266,65.8,620,132,1307.002923,721,0.41,6.1,5.4,0.11,11.51,46,1.32,0.000065
9236,388,606,1969,4.39,4.25,1.6,0.0055,23.1,0.11,1.45,5.03,1.21,31.3,11.9,155,63.6,316,70.8,677,144,1500.913824,692,0.64,4.7,4.4,0.29,15.89,128,4.34,0.00015
10846,502,1146,1904,1.05,9.5,4.53,0.07,27.6,0.1,1.51,3.35,0.28,26.6,10.7,151,59.7,305,72.5,709,141,1508.095967,585,0.44,5.7,4.7,0.09,18.26,94,-0.38,0.000047
10727,186,436,1572,4.48,4.46,1.85,0.075,16,0.16,1.31,2.97,0.57,20.6,7.83,114,47.1,245,57.7,581,125,1218.608266,694,0.43,6.8,5.1,0.22,12.23,65,1.83,0.000142
11484,480,1166,1644,2.46,9.03,4.85,0.61,28.5,0.6,3.92,4.43,0.57,23.3,9.4,127,54.8,268,63.7,641,130,1355.523453,646,0.41,7,5,0.17,7.26,19,-4.26,0.000103
8558,176,397,1636,8.24,4.26,1.31,0.0071,14.2,0.068,0.95,2.56,0.82,20,7.88,112,51.6,261,61.2,618,132,1282.679193,749,0.44,5.2,5.5,0.35,14.95,94,4.74,0.000214
8861,186,528,1142,2.17,5.89,2.16,0,15.6,0.037,0.53,2.1,0.32,12.7,5.83,81,35.8,181,44.9,483,97,959.9891546,636,0.35,7.8,6,0.19,29.4,271,5.4,0.000165
13391,481,1123,1614,3.13,8.37,4.51,0.02,22.8,0.026,0.72,2.3,0.26,19.6,8.23,120,52.7,265,61.9,616,127,1296.992854,665,0.43,8.3,5.1,0.12,31.63,235,5.77,0.000073
10943,431,926,2074,2.45,8.2,3.1,1.61,27,0.64,4.81,4.02,0.72,28.6,11.8,156,65.4,324,74.3,760,159,1617.901259,646,0.47,5.3,4.9,0.21,5.6,11,-6.38,0.000099
11804,232,528,1172,2.69,4.32,1.9,0,16.7,0.021,1.01,2.66,0.26,15.7,6.47,86.5,38.8,195,45.7,450,94.6,953.8486371,653,0.44,10.1,5.2,0.12,16.53,102,2.25,0.000106
9217,335,935,1372,5.25,7.6,4.23,0.62,24.3,0.92,6.41,5.5,1.36,20.5,8.81,109,44.6,216,53.3,500,101,1093.458031,708,0.36,6.7,4.6,0.39,3.79,8,-5.84,0.000286
11295,269,560,1376,4.37,4.56,2.06,0,16.6,0.03,1,3.13,0.5,19.1,7.39,103,45.4,216,51.2,509,108,1079.974706,692,0.48,8.2,4.9,0.2,16.59,121,4.12,0.000145
11262,169,372,1151,0.91,3.05,1.29,119,313,41.8,201,44.1,1.82,52.3,11,108,38.5,174,38.8,379,83,1606.37218,576,0.46,9.8,3.5,0.12,1.55,1,-18.7,0.000101
10981,461,923,1488,2.6,8.94,3.89,0.16,22.3,0.24,2.08,3.64,0.34,18.9,8.11,112,47.2,237,55.8,553,117,1177.906623,650,0.5,7.4,4.9,0.12,10.74,44,-1,0.000083
