Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
12571,388,1013,1675,1.87,8.61,4.97,2.17,30.1,1,5.44,4.06,0.23,22.3,8.92,125,55,268,63.3,621,134,1340.014417,625,0.38,7.5,5,0.07,5.52,10,-7.53,0.000044
10798,234,468,1317,4.47,3.34,1.52,0,13.3,0.05,1.52,2.4,0.58,19.7,7.27,108,44,215,50.2,489,108,1059.8836,694,0.5,8.2,4.5,0.26,8.74,32,-0.81,0.000197
7278,352,680,1476,2.96,6.22,2.49,0.048,24.8,0.22,1.83,4.55,0.7,22.5,8.97,119,50.5,244,57,576,121,1230.700307,660,0.52,4.9,4.8,0.21,13.59,79,1.54,0.000144
10406,235,612,1169,3.97,6,2.7,11.9,40.3,2.75,12.1,5.23,0.39,19,6.67,91.8,39.3,193,46.2,447,101,1016.726329,684,0.38,8.9,4.9,0.12,3.32,3,-9.62,0.000102
9980,428,1009,1495,2.19,7.36,4.01,10.4,47.2,3.46,17.7,8.03,0.7,23.9,9.19,117,49.4,239,55.8,528,115,1223.245129,637,0.42,6.7,4.5,0.15,2.67,3,-11.72,0.000103
12232,203,526,1323,2.27,5.53,2.64,3.54,25.3,1.01,5.19,2.49,0.23,18.1,7.36,96.8,42.7,216,50.5,504,109,1082.257,640,0.39,9.2,5.2,0.1,4.87,5,-9.18,0.000078
12552,397,1021,2591,1.67,4.96,2.49,0.36,26.1,0.45,3.37,5.49,0.47,36.8,14.4,202,82.8,409,90,854,186,1911.767258,617,0.39,4.8,4.2,0.1,7.72,29,-3.62,0.000039
9945,327,678,1286,9.18,6.07,2.91,0.87,22.9,2.3,21.5,14.5,3.49,31.7,8.61,105,41.8,207,49.2,471,102,1082.437574,759,0.48,7.7,4.5,0.5,1.06,2,-10.14,0.000387
10394,426,761,1413,2.68,8.43,2.94,1.07,24.8,0.33,2.4,3.49,0.43,19.5,7.76,106,45.7,224,53,518,110,1117.349643,652,0.56,7.4,4.9,0.16,10.3,35,-1.79,0.000113
12561,517,1208,1643,0.56,9.09,5.35,0.13,24.5,0.063,0.67,2.72,0.22,19.9,8.49,121,52.2,272,63,618,131,1313.616207,545,0.43,7.6,5.1,0.09,36.7,348,2.92,0.000057
