label,Hf ,Th ,U ,Y ,Ti ,Nb,Ta,La,Ce ,Pr,Nd ,Sm ,Eu ,Gd ,Tb ,Dy ,Ho ,Er ,Tm ,Yb ,Lu ,REE,T (?),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,?FMQ,(EuN/EuN*)/Y
barren,8836,493,445,1735,,,,0.07,15,0.53,6.95,10.4,1,47.4,15.9,165,57,247,50,445,77,1138,,1.11,5,2.7,0.13,2,8,,0.000075
barren,10070,533,544,1563,,,,0.04,21,0.47,7.14,10.8,0.7,45.2,14.9,153,52,223,46,412,70,1056,,0.98,6,2.7,0.09,3,10,,0.000058
barren,9855,498,506,1545,,,,0.06,20,0.57,7.82,11.3,0.8,46.1,15,154,52,222,46,412,69,1056,,0.98,6,2.7,0.11,3,9,,0.000071
barren,10232,271,312,988,,,,0,15,0.09,2.07,4.2,0.4,23.8,8.5,92,33,143,31,286,50,688,,0.87,10,3.1,0.11,7,34,,0.000111
barren,10012,531,555,1596,,,,0.07,21,0.62,8.55,11.3,0.7,45.9,15,156,53,228,47,425,71,1085,,0.96,6,2.7,0.09,2,8,,0.000056
barren,14007,1331,3636,2068,,,,0.01,49,0.15,3.18,6.6,0.3,35,14.6,174,66,314,72,684,117,1536,,0.37,7,3.9,0.05,15,74,,0.000024
barren,8968,668,684,1809,,,,0.11,18,0.65,8.51,11.9,0.7,48,15.5,166,59,258,52,464,79,1181,,0.98,5,2.8,0.09,2,7,,0.00005
barren,9573,436,434,1444,,,,0.03,19,0.42,6.2,9.9,0.7,42.2,13.9,143,48,209,43,389,65,990,,1,7,2.7,0.11,3,11,,0.000076
barren,7685,171,164,1056,,,,0.04,11,0.4,5.53,7.1,1.2,29.8,9.4,99,34,151,33,284,50,715,,1.04,7,2.9,0.25,2,6,,0.000237
barren,8064,71,88,469,,,,0.01,8,0.04,0.74,1.8,0.4,9.8,3.5,42,15,69,16,156,27,349,,0.81,17,3.7,0.26,11,62,,0.000554
barren,8682,138,135,795,,,,0.06,10,0.31,4.55,6.5,0.8,24.2,7.6,80,26,111,24,213,35,542,,1.02,11,2.7,0.19,2,7,,0.000239
barren,7778,64,93,386,,,,0.01,7,0.03,0.73,1.7,0.3,8,2.9,34,12,59,13,131,23,293,,0.69,20,3.9,0.22,10,52,,0.00057
barren,8389,85,118,413,,,,0.01,9,0.04,0.56,1.8,0.3,8,3.2,36,13,62,14,136,24,308,,0.72,20,3.8,0.21,16,117,,0.000508
barren,9604,69,614,322,,,,0.01,8,0.03,0.75,1.7,0.3,7.2,2.4,29,10,49,12,128,28,275,,0.11,30,4.4,0.25,11,55,,0.000776
barren,8323,80,106,384,,,,0,9,0.03,0.64,1.2,0.2,7.3,3.1,34,12,57,13,128,23,288,,0.75,22,3.8,0.18,14,63,,0.000469
barren,8585,78,108,423,,,,0,9,0.04,0.52,1.4,0.2,8.8,3.2,37,13,64,15,145,26,322,,0.72,20,3.9,0.17,17,110,,0.000402
barren,8284,209,214,905,,,,0.02,15,0.18,2.41,4,0.7,20.5,7.5,82,29,133,30,279,50,654,,0.98,9,3.4,0.24,6,24,,0.000265
barren,9473,109,123,619,,,,0.01,12,0.05,1.04,2.2,0.4,12.9,4.8,56,20,93,21,199,35,458,,0.89,15,3.5,0.25,12,58,,0.000404
barren,8291,506,380,2067,,,,0.07,18,0.44,6.61,9.9,1.7,48.3,17,195,69,311,65,589,103,1433,,1.33,4,3,0.23,3,10,,0.000111
barren,9414,138,134,853,,,,0.01,12,0.12,2.2,4.7,0.8,21.7,7.6,80,27,124,27,247,43,598,,1.03,11,3.1,0.25,5,27,,0.000293
barren,8906,91,95,580,,,,0.01,9,0.09,1.52,3.1,0.5,14.4,4.9,55,18,86,19,186,33,430,,0.96,15,3.4,0.24,6,28,,0.000414
barren,8517,445,361,1724,,,,0.03,21,0.34,4.97,8.8,1.3,41.4,14.3,161,56,253,54,509,88,1213,,1.23,5,3.2,0.21,4,17,,0.000122
