label,Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
B,12837 ,1234 ,1615 ,2492 ,3.8 ,,,7.43 ,164.0 ,1.83 ,7.8 ,5.2 ,0.7 ,28 ,10 ,145 ,63 ,360 ,86 ,1033 ,199 ,2112 ,691 ,0.76 ,5.15 ,7.11 ,0.18 ,20.94 ,32.4 ,-0.87 ,0.000074 
B,11377 ,285 ,481 ,1822 ,2.4 ,,,0.01 ,65.4 ,0.06 ,1.8 ,5.2 ,1.1 ,25 ,9 ,124 ,50 ,266 ,60 ,688 ,126 ,1421 ,655 ,0.59 ,6.25 ,5.57 ,0.30 ,35.84 ,236.2 ,5.47 ,0.000164 
B,11083 ,484 ,788 ,2544 ,5.1 ,,,0.04 ,123.2 ,0.11 ,1.7 ,5.4 ,1.4 ,36 ,14 ,192 ,75 ,375 ,81 ,882 ,149 ,1936 ,717 ,0.61 ,4.36 ,4.60 ,0.30 ,72.99 ,539.1 ,10.43 ,0.000119 
B,12755 ,3277 ,3010 ,4310 ,9.3 ,,,1.16 ,289.7 ,0.74 ,6.7 ,8.0 ,1.1 ,43 ,16 ,234 ,105 ,607 ,150 ,1825 ,344 ,3631 ,773 ,1.09 ,2.96 ,7.79 ,0.18 ,43.27 ,120.6 ,6.32 ,0.000041 
B,9897 ,436 ,370 ,1645 ,5.0 ,,,0.04 ,98.6 ,0.14 ,2.1 ,6.2 ,1.7 ,33 ,11 ,142 ,51 ,237 ,47 ,490 ,82 ,1202 ,714 ,1.18 ,6.02 ,3.45 ,0.37 ,48.01 ,337.7 ,8.62 ,0.000222 
B,12879 ,1034 ,1365 ,3207 ,8.6 ,,,1.39 ,165.2 ,0.68 ,4.5 ,5.0 ,0.7 ,29 ,11 ,173 ,78 ,467 ,116 ,1405 ,268 ,2724 ,766 ,0.76 ,4.02 ,8.13 ,0.18 ,36.52 ,94.6 ,5.22 ,0.000057 
B,11607 ,398 ,556 ,1688 ,4.9 ,,,0.20 ,23.3 ,0.34 ,4.4 ,7.7 ,1.8 ,36 ,12 ,140 ,53 ,243 ,55 ,568 ,110 ,1254 ,713 ,0.72 ,6.88 ,4.06 ,0.32 ,5.30 ,21.5 ,-1.76 ,0.000192 
B,11151 ,447 ,666 ,1292 ,3.4 ,,,4.55 ,27.9 ,2.17 ,11.9 ,6.1 ,0.4 ,22 ,8 ,100 ,41 ,196 ,44 ,445 ,84 ,992 ,682 ,0.67 ,8.63 ,4.45 ,0.11 ,2.35 ,2.8 ,-10.33 ,0.000084 
B,7422 ,320 ,556 ,1625 ,5.9 ,,,1.12 ,18.5 ,1.44 ,8.7 ,6.5 ,0.2 ,28 ,11 ,144 ,57 ,252 ,52 ,491 ,86 ,1158 ,730 ,0.58 ,4.57 ,3.41 ,0.04 ,2.13 ,3.7 ,-7.90 ,0.000025 
B,9324 ,151 ,306 ,1695 ,4.0 ,,,0.35 ,7.2 ,0.29 ,3.5 ,7.3 ,0.3 ,40 ,14 ,163 ,60 ,255 ,52 ,480 ,85 ,1166 ,696 ,0.49 ,5.50 ,2.94 ,0.06 ,2.08 ,10.2 ,-5.08 ,0.000035 
B,8169 ,324 ,491 ,1844 ,3.2 ,,,0.10 ,7.7 ,0.06 ,1.0 ,4.3 ,1.1 ,34 ,14 ,172 ,66 ,288 ,58 ,543 ,96 ,1285 ,678 ,0.66 ,4.43 ,3.16 ,0.28 ,7.58 ,75.4 ,1.91 ,0.000154 
B,12229 ,379 ,565 ,2221 ,4.3 ,,,0.08 ,26.9 ,0.25 ,3.9 ,7.4 ,1.7 ,38 ,14 ,174 ,69 ,331 ,78 ,828 ,160 ,1732 ,702 ,0.67 ,5.51 ,4.76 ,0.30 ,6.99 ,31.4 ,-0.66 ,0.000135 
B,11955 ,230 ,437 ,1290 ,3.8 ,,,0.02 ,7.2 ,0.14 ,2.7 ,5.4 ,0.4 ,29 ,10 ,121 ,45 ,191 ,40 ,388 ,72 ,912 ,692 ,0.53 ,9.27 ,3.21 ,0.09 ,2.73 ,13.0 ,-4.27 ,0.000071 
B,14055 ,187 ,376 ,1657 ,2.1 ,,,0.10 ,8.4 ,0.17 ,2.7 ,7.1 ,0.2 ,40 ,14 ,160 ,59 ,249 ,50 ,459 ,82 ,1131 ,645 ,0.50 ,8.48 ,2.87 ,0.03 ,3.06 ,18.5 ,-4.41 ,0.000021 
B,11147 ,244 ,428 ,892 ,7.0 ,,,0.15 ,5.2 ,0.14 ,1.7 ,3.2 ,0.5 ,17 ,6 ,73 ,29 ,138 ,32 ,347 ,68 ,721 ,745 ,0.57 ,12.50 ,4.75 ,0.19 ,2.97 ,12.7 ,-2.84 ,0.000215 
B,12858 ,196 ,405 ,2775 ,5.4 ,,,0.20 ,51.7 ,0.46 ,6.7 ,12.4 ,2.9 ,57 ,20 ,235 ,88 ,405 ,90 ,934 ,174 ,2077 ,722 ,0.48 ,4.63 ,3.97 ,0.33 ,7.67 ,32.9 ,0.09 ,0.000119 
