Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
9324,1154,1698,3162,6.35,8.37,3.35,0.064,48.5,0.36,4.72,10,2,56,19.8,247,99.8,474,111,1079,218,2370.114464,724,0.68,2.9,4.4,0.26,10.26,51,1.78,0.000082
10959,55.8,75.5,610,2.64,1.17,0.36,8.17,40.8,2.57,9.64,3.49,1.04,13.9,4.03,50.5,20.4,90.6,20.3,202,42.5,510.0621087,651,0.74,18,4,0.46,4.24,4,-10.38,0.000747
10078,171,349,1458,4.12,1.78,0.8,0.03,10.8,0.11,1.85,4.29,0.74,23.5,9.17,120,51.9,233,56.5,587,117,1215.681465,687,0.49,6.9,4.9,0.22,5.83,31,-1.11,0.000154
11368,526,1441,2863,1.99,10.5,3.96,0.0041,25.2,0.069,2.14,4.51,0.63,37,14.6,202,89.1,449,102,1049,217,2192.154112,630,0.36,4,5.2,0.15,11.79,58,-0.62,0.000052
9956,329,883,1918,6,7.3,2.97,0.21,26.1,0.31,3.79,5.45,1.04,27.4,11.2,145,61.7,307,72.2,757,157,1576.267711,719,0.37,5.2,5.2,0.26,6.89,23,-1.33,0.000135
13252,255,638,1439,2.54,5.8,2.96,7.61,35.2,2.15,12.1,4.81,0.44,22,8.08,119,48.4,244,56.1,558,114,1230.763227,648,0.4,9.2,4.7,0.13,2.9,3,-11.57,0.000092
11644,183,426,1272,3.65,3.89,1.59,0,13.6,0.067,0.68,2.41,0.31,14.8,6.61,89.6,42,212,49,508,108,1046.973658,677,0.43,9.2,5.7,0.16,19.83,163,4.77,0.000124
10538,158,413,1286,2.83,3.77,1.73,0.025,13.2,0.074,1.27,2.98,0.56,17.7,7,93,42.8,219,51.5,531,113,1093.713093,657,0.38,8.2,5.7,0.23,10.42,57,0.2,0.000183
11639,173,458,1113,1.62,4.51,1.99,0.0063,14.2,0.023,0.56,1.77,0.28,14,5.61,78.7,36.5,187,42.3,445,91.3,917.2840648,615,0.38,10.5,5.7,0.17,25.08,183,3.18,0.000154
10373,954,2621,3488,2.58,13.6,6.51,0.27,40.6,1.01,7.57,10.6,1.24,52.9,20.9,255,112,555,117,1167,237,2579.157249,650,0.36,3,4.6,0.16,5.36,17,-4.47,0.000046
