Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
10096,162,375,1254,5.05,2.93,1.3,0,12.6,0.045,0.93,3.02,0.49,17.6,7.08,94.9,41.8,213,48.6,507,108,1055.629181,704,0.43,8,5.3,0.21,13.63,104,3.89,0.000165
9735,427,548,2808,5.76,2.4,1.07,0.084,38,0.31,5.21,9.93,3.29,52.5,18,218,90.6,420,92,928,192,2068.021322,716,0.78,3.5,4.3,0.44,7.3,32,-0.15,0.000157
10678,381,777,2055,4.2,5.58,2.01,0.013,34.6,0.12,2.09,4.68,0.84,29.2,11.4,151,66.5,321,73.2,744,152,1589.861757,689,0.49,5.2,4.9,0.22,16.58,87,2.75,0.000107
10454,1606,2753,3300,3.26,11.3,4.56,0.097,35.1,0.34,3.61,8.11,0.83,55.2,20,257,106,491,107,1029,209,2321.909489,668,0.58,3.2,4,0.12,9.71,51,0.11,0.000036
9818,480,904,2721,5.52,4.98,1.72,0.021,19.5,0.15,2.48,6.72,1.22,41.3,16.2,215,88.8,426,93.5,916,186,2013.121932,712,0.53,3.6,4.3,0.22,7.86,50,1.34,0.000082
10439,354,961,2503,3.99,8.47,2.56,0.0038,16.6,0.092,1.65,4.03,0.63,29.9,12.5,175,78.1,402,93.5,945,191,1949.169405,684,0.37,4.2,5.4,0.18,10.07,57,1.07,0.00007
13514,514,1728,2279,1.26,11.5,6.16,0.061,26.1,0.15,1.96,4.03,0.53,26.8,11.5,158,71.2,367,87.2,893,189,1836.335419,598,0.3,5.9,5.7,0.16,13.28,64,-1.41,0.000068
10924,632,1092,2543,6.08,9.32,2.98,0.023,46,0.18,2.35,5.5,1.33,37.4,14.7,194,83.5,416,97.6,919,194,2011.535629,721,0.58,4.3,4.7,0.28,19.54,106,4.46,0.000111
11166,209,660,1452,8.69,3.51,1.44,0.066,9.59,0.052,0.73,2.62,0.42,18.6,7.82,110,47.8,242,59.1,582,127,1207.79461,754,0.32,7.7,5.3,0.18,13.17,110,5.48,0.000126
9417,561,1081,1675,4.53,4.69,2.06,1.5,19.3,0.87,6.01,6.37,1.07,32.7,11.6,141,56.5,270,60.6,566,117,1289.659069,695,0.52,5.6,4,0.23,3.21,8,-6.05,0.000135
10794,984,1478,2483,5.35,7.11,2.94,0.013,34.2,0.11,2.37,4.86,1.3,35.3,14.3,186,78.4,381,86,860,184,1867.363765,709,0.67,4.3,4.6,0.3,14.4,69,2.5,0.000122
10154,794,1298,2547,5.57,6.68,2.44,0.033,18.9,0.13,2.53,5.84,0.98,40.4,15.6,206,83.5,393,87.3,819,169,1841.78305,713,0.61,4,4,0.19,7.46,40,0.57,0.000077
12098,274,634,1513,1.72,3.87,1.97,0.006,15.8,0.077,1.35,3.05,0.51,21.8,8.53,117,50.2,247,58.1,577,121,1221.883507,619,0.43,8,4.9,0.19,11.72,62,-0.75,0.000126
11775,420,974,1487,2.41,6.68,4.03,0.024,21.6,0.053,0.91,1.99,0.21,18.1,7.83,114,48.1,243,54.5,537,116,1163.127679,644,0.43,7.9,4.7,0.11,23.69,120,2.59,0.000071
11767,272,637,1408,1.82,5.76,2.4,0.3,19.6,0.19,1.31,3.31,0.29,18.4,7.19,109,45.7,227,55.6,543,118,1148.935672,623,0.43,8.4,5,0.12,15.02,88,0.74,0.000082
11899,874,2220,2593,10.7,12.2,5.97,0.45,32.2,1.07,7.8,8.13,1.29,40.9,15.9,202,81.2,398,90.3,909,193,1980.648631,774,0.39,4.6,4.5,0.22,4.13,10,-3.01,0.000083
12139,285,628,1287,1.92,5.25,2.39,0.14,19.6,0.079,0.81,2.31,0.22,16.8,7.27,98.6,43.2,208,48.8,479,104,1028.629843,627,0.45,9.4,4.9,0.11,24.33,162,3.15,0.000086
10526,256,635,1530,8.11,4.74,1.87,0.069,17.2,0.1,0.96,2.9,0.71,20,7.8,116,49.4,246,57.6,603,128,1249.517268,747,0.4,6.9,5.2,0.28,17.94,126,5.81,0.000186
10847,1162,1622,3029,7.3,9.73,3.8,0.33,67.7,1.05,10.8,13.6,2.72,63.1,20.5,253,94.5,459,100,993,200,2279.235282,737,0.72,3.6,3.9,0.28,6.25,18,-1.7,0.000094
10610,708,1485,3437,2.63,6.13,2.8,0.61,25.8,0.42,5.62,9.45,1.06,58,21.3,276,109,512,114,1121,230,2485.19203,651,0.48,3.1,4.1,0.14,4.58,18,-4.33,0.00004
