Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
11640,627,614,1293,1.15,7.35,1.33,0.039,67.2,0.054,1.83,4.15,1.84,27.4,8.9,102,40,192,42.5,445,89.5,1021.639333,591,1.02,9,4.4,0.53,36.66,193,2.53,0.000409
11839,204,335,901,9.72,2.84,0.54,2.26,34.9,0.72,4.07,2.81,1.18,15.8,5.38,65.1,28.4,137,33,335,75.9,741.7374056,764,0.61,13.1,5.1,0.54,8.57,14,-2.06,0.000602
10954,204,316,1460,3.12,5.6,1.28,0.015,43,0.053,1.05,3.79,1.52,25,9.09,114,46.2,216,48.4,479,97.4,1084.653987,664,0.65,7.5,4.2,0.48,40.95,344,7.19,0.000327
11451,142,252,751,18.23,3.28,0.86,0.7,26,0.1,0.97,1.93,0.78,12,4.42,56.2,22.9,110,25.4,257,55.5,573.4177381,829,0.57,15.2,4.6,0.5,26.7,124,7.76,0.000659
11442,303,400,1255,7.51,5.1,0.87,0.19,44,0.19,2.14,3.97,1.88,23.8,7.97,97.2,39.1,185,43.1,431,94,973.0079253,740,0.76,9.1,4.4,0.59,20.54,89,4.3,0.000472
9208,174,217,1451,9.32,2.99,0.68,8.3,61.2,2.92,14.7,7.12,3.16,36.1,11.1,131,46.8,206,44.1,405,83.7,1061.30182,760,0.8,6.3,3.1,0.6,4.15,5,-6.23,0.000415
11436,298,407,1161,2.99,5.16,1.09,0.0084,44.8,0.069,1.44,3.82,1.42,23.2,7.64,90.9,35.8,165,37.4,380,77.3,869.5864935,661,0.73,9.9,4.2,0.46,31.12,192,4.9,0.000396
11290,118,222,1633,6.37,6.38,1.39,0.0037,28,0.042,1.35,3.48,1.76,26.8,10.1,129,50.6,241,53.6,504,99.2,1149.246633,725,0.53,6.9,3.9,0.56,20.73,124,5.15,0.000342
11139,124,160,1273,6.14,3.11,0.63,0.02,51.7,0.097,3.04,7.34,3.27,37.5,11.4,130,43.3,177,35.8,317,61.6,878.073852,721,0.77,8.8,2.4,0.6,16.97,95,4.06,0.000474
10631,225,288,1215,5.35,3.49,0.88,0.89,52.1,0.37,3.28,5.1,1.88,26.4,8.48,103,39.7,178,40,352,74.2,885.4119844,709,0.78,8.7,3.4,0.49,15.91,58,1.83,0.000407
11469,242,423,1051,3.11,3.72,0.91,0.021,35.4,0.046,0.9,2.2,0.92,13.5,5.31,67.7,29.9,155,39.7,418,101,868.9464,664,0.57,10.9,6.2,0.52,39.21,222,5.55,0.000494
11931,468,572,1716,3.85,7.13,1.27,0.081,56.2,0.27,3.81,7.16,2.69,34.4,11.7,136,53.4,248,56.3,552,119,1280.818449,681,0.82,7,4.1,0.52,14.76,65,1.44,0.000305
11397,97.5,193,839,4.4,2.36,0.98,0.0007,14,0.038,0.8,2.67,0.79,13.2,4.92,63.3,25.9,129,30.1,298,67.9,650.9731381,692,0.5,13.6,4.7,0.41,17.38,135,4.53,0.000484
10824,144,248,1331,3.19,3.63,0.89,2.14,42.9,0.83,4.95,4.35,1.41,22.7,8.16,102,41.6,196,43.8,420,89.7,979.988032,666,0.58,8.1,4.1,0.43,8.67,18,-3.88,0.000326
11481,135,289,1044,5,3.51,0.92,0.014,32,0.058,0.83,2.45,1.06,15.6,5.56,71.8,30.7,157,37,390,87.5,831.0833227,703,0.47,11,5.4,0.53,38.37,262,7.35,0.000503
12552,236,398,883,1.7,3.76,0.76,2.07,35.9,0.55,2.13,2.12,0.91,13.7,4.92,61.5,26,126,31.4,336,74.7,717.9063991,618,0.59,14.2,5.5,0.51,16.86,39,-2.51,0.000583
11182,555,568,1591,9.5,6.3,1.49,0,69.6,0.077,1.77,5.1,2.12,33.2,11.4,131,50.4,228,51.8,483,104,1172.27663,762,0.98,7,3.7,0.5,39.25,263,8.97,0.000312
12788,182,374,1259,2.47,4.73,1.05,8.63,60.2,2.87,13.7,4.76,1.35,19.5,6.72,85.7,37.4,188,46.3,493,115,1083.439574,646,0.49,10.2,5.8,0.43,4.38,4,-10.58,0.000342
10213,72.3,82.5,1140,6.78,1.86,0.47,0.0007,16.9,0.079,1.33,3.52,1.68,20.9,7.9,93.1,37.3,173,37.9,360,79.2,833.6193029,730,0.88,9,3.9,0.6,12.69,78,3.56,0.000524
12826,245,450,1516,8.4,6.95,1.18,0.01,37.3,0.075,1.19,3.66,1.12,24.7,9.64,123,48.7,217,49,487,105,1107.546858,750,0.54,8.5,3.9,0.36,31.36,225,8.07,0.000237
12022,127,251,1079,4.47,3.85,0.98,0.074,34.5,0.057,0.95,3,1.08,17.5,6.6,82.8,34.5,159,35.9,358,78.4,812.6943463,694,0.51,11.1,4.3,0.45,36.25,266,7.12,0.000421
12011,667,605,1485,3.71,6.21,1.48,0.57,68.5,0.27,2.47,4.8,2.1,31.2,10,120,45.3,208,45.5,443,94.2,1076.18181,678,1.1,8.1,3.7,0.53,27.66,125,3.82,0.000354
11828,170,305,1582,5.57,4.42,0.95,0.014,27,0.075,1.03,3.33,1.73,24,9.02,119,49.1,230,51.5,516,113,1144.919444,713,0.56,7.5,4.4,0.59,26.32,199,6.58,0.000374
11345,227,375,1553,13.89,5.5,1,0.19,49.9,0.11,1.44,4.07,1.61,24.9,8.88,115,47.5,231,50.8,543,117,1194.474234,800,0.61,7.3,4.7,0.49,34.62,228,9.38,0.000314
11821,92.5,211,974,2.3,3.99,1.09,0.0086,26.9,0.032,0.78,1.75,0.79,13.9,5.36,72.2,30.3,155,36.8,374,81.9,798.9110644,641,0.44,12.1,5.2,0.49,34.33,179,3.97,0.000499
11928,198,350,1125,3.22,4.13,0.82,0.014,34,0.043,0.69,2.57,0.98,15.7,5.53,74.8,32.2,167,40.1,419,98.7,890.6846109,667,0.57,10.6,5.6,0.47,49.51,432,8.13,0.000417
12713,168,373,1786,3.73,9.2,2.36,0.031,39.4,0.091,1.13,3.62,1.4,25.1,10.1,133,53.7,264,60.4,577,123,1292.686419,679,0.45,7.1,4.3,0.45,34.97,261,6.61,0.000251
12822,370,523,1322,2.76,4.49,1.12,0.036,42.9,0.096,1.9,3.8,1.61,23.1,7.97,99.2,40,202,44.5,456,106,1029.473487,655,0.71,9.7,4.6,0.52,22.56,105,2.43,0.000397
11796,226,292,843,4.18,2.13,0.67,0,32.5,0.067,0.98,2.77,1.23,17.2,5.32,64.8,25.1,118,26.5,269,60.3,624.184405,688,0.77,14,4.2,0.55,33.1,217,6.19,0.00065
13778,402,624,865,1.47,4.64,1.06,0.015,35.7,0.014,0.54,1.52,0.68,10.5,3.8,51.7,24,127,32.1,364,88.1,740.205391,608,0.64,15.9,7,0.52,65.58,427,6.12,0.000598
,,,,,,,,,,,,,,,,,,,,,945.6363496,,,,,,,,,
